field_id,mukey,muname,compname,comppct_r,drainagecl,hzdept_r,hzdepb_r,om_r,ph1to1h2o_r,awc_r,claytotal_r,sandtotal_r,silttotal_r,dbthirdbar_r,cec7_r
FIELD_0001,410341,"Galva silty clay loam, 5 to 9 percent slopes, eroded",Galva,5,Well drained,15,43,3.5,6.5,0.22,33,3,64,1.28,27.3
FIELD_0001,410341,"Galva silty clay loam, 5 to 9 percent slopes, eroded",Primghar,5,Somewhat poorly drained,20,43,4,6.5,0.22,37,2,61,1.3,30.5
FIELD_0001,410341,"Galva silty clay loam, 5 to 9 percent slopes, eroded",Steinauer,5,Well drained,28,152,0.5,8.2,0.14,29.5,33.6,36.9,1.65,22.9
FIELD_0001,410351,"Radford silty clay loam, 2 to 5 percent slopes",Radford,90,Somewhat poorly drained,0,23,2,6.2,0.22,29,5,66,1.38,23.5
FIELD_0001,410351,"Radford silty clay loam, 2 to 5 percent slopes",Radford,90,Somewhat poorly drained,23,61,2,6.5,0.21,22,7,71,1.36,18.6
FIELD_0001,410351,"Radford silty clay loam, 2 to 5 percent slopes",Primghar,5,Somewhat poorly drained,0,20,6.2,6.5,0.22,36,3,61,1.25,30.3
FIELD_0001,410351,"Radford silty clay loam, 2 to 5 percent slopes",Colo,5,Poorly drained,0,20,4,6,0.22,24,7,69,1.34,20.6
FIELD_0001,410351,"Radford silty clay loam, 2 to 5 percent slopes",Primghar,5,Somewhat poorly drained,20,43,4,6.5,0.22,37,2,61,1.3,30.5
FIELD_0001,410351,"Radford silty clay loam, 2 to 5 percent slopes",Colo,5,Poorly drained,20,36,3.5,6,0.22,25,3,72,1.28,21.3
FIELD_0001,410363,"Galva silty clay loam, terrace, 0 to 2 percent slopes",Galva,95,Well drained,0,15,4,5.7,0.22,32,4,64,1.28,25.2
FIELD_0001,410363,"Galva silty clay loam, terrace, 0 to 2 percent slopes",Galva,95,Well drained,15,43,3.5,6.5,0.22,33,3,64,1.28,27.3
FIELD_0001,410363,"Galva silty clay loam, terrace, 0 to 2 percent slopes",Primghar,5,Somewhat poorly drained,0,20,6.2,6.5,0.22,36,3,61,1.25,30.3
FIELD_0001,410363,"Galva silty clay loam, terrace, 0 to 2 percent slopes",Primghar,5,Somewhat poorly drained,20,43,4,6.5,0.22,37,2,61,1.3,30.5
FIELD_0001,410364,"Galva silty clay loam, terrace, 2 to 5 percent slopes",Galva,95,Well drained,0,15,4,5.7,0.22,32,4,64,1.28,25.2
FIELD_0001,410364,"Galva silty clay loam, terrace, 2 to 5 percent slopes",Galva,95,Well drained,15,43,3.5,6.5,0.22,33,3,64,1.28,27.3
FIELD_0001,410364,"Galva silty clay loam, terrace, 2 to 5 percent slopes",Galva,5,Well drained,0,15,3.1,5.8,0.22,32,5,63,1.28,25.2
FIELD_0001,410364,"Galva silty clay loam, terrace, 2 to 5 percent slopes",Galva,5,Well drained,15,25,1.6,6.6,0.22,32,5,63,1.28,27.3
FIELD_0001,410364,"Galva silty clay loam, terrace, 2 to 5 percent slopes",Galva,5,Well drained,25,79,1.5,7,0.19,29,5,66,1.33,24.7
FIELD_0002,1472142,"Florence-Labette complex, 2 to 12 percent slopes",Florence,50,Well drained,0,10,3,6,0.14,24,10,66,1.32,20.1
FIELD_0002,1472142,"Florence-Labette complex, 2 to 12 percent slopes",Florence,50,Well drained,10,38,2,6,0.04,30,9,61,1.36,24
FIELD_0002,1472142,"Florence-Labette complex, 2 to 12 percent slopes",Labette,35,Well drained,0,18,3,6.1,0.19,35,4,61,1.24,28.7
FIELD_0002,1472142,"Florence-Labette complex, 2 to 12 percent slopes",Labette,35,Well drained,18,33,2,6.1,0.19,38,5,57,1.34,30.4
FIELD_0002,1472142,"Florence-Labette complex, 2 to 12 percent slopes",Tully,5,Well drained,0,25,3,6.5,0.2,34,5,61,1.02,27.9
FIELD_0002,1472142,"Florence-Labette complex, 2 to 12 percent slopes",Tully,5,Well drained,25,41,2.5,6.5,0.19,36,4,60,1.15,29.2
FIELD_0002,1472142,"Florence-Labette complex, 2 to 12 percent slopes",Sogn,4,Somewhat excessively drained,0,13,4,7.5,0.24,35,10,55,1.25,28.1
FIELD_0002,1472142,"Florence-Labette complex, 2 to 12 percent slopes",Sogn,4,Somewhat excessively drained,13,18,3.5,7.5,0.15,37,9,54,1.31,29.4
FIELD_0002,1472142,"Florence-Labette complex, 2 to 12 percent slopes",Sogn,4,Somewhat excessively drained,18,200,,,,,,,,
FIELD_0002,1472142,"Florence-Labette complex, 2 to 12 percent slopes",Clime,3,Well drained,0,25,3,7.5,0.16,41,5,54,1.32,22.1
FIELD_0002,1472142,"Florence-Labette complex, 2 to 12 percent slopes",Clime,3,Well drained,25,48,2,7.9,0.11,48,9,43,1.34,25.7
FIELD_0002,1472142,"Florence-Labette complex, 2 to 12 percent slopes",Dwight,2,Moderately well drained,0,15,3,6.5,0.22,23,7,70,1.15,19.4
FIELD_0002,1472142,"Florence-Labette complex, 2 to 12 percent slopes",Dwight,2,Moderately well drained,15,71,1,8,0.13,53,4,43,1.25,38.3
FIELD_0002,1472142,"Florence-Labette complex, 2 to 12 percent slopes",Aquolls,1,Poorly drained,0,30,3,6.5,0.21,33,7,60,1.3,26
FIELD_0002,1472142,"Florence-Labette complex, 2 to 12 percent slopes",Aquolls,1,Poorly drained,30,116,1,7,0.14,44,4,52,1.4,28
FIELD_0002,2668821,"Clime-Sogn complex, 3 to 20 percent slopes",Clime,60,Well drained,0,25,3,7.5,0.16,41,5,54,1.32,22.1
FIELD_0002,2668821,"Clime-Sogn complex, 3 to 20 percent slopes",Clime,60,Well drained,25,48,2,7.9,0.11,48,9,43,1.34,25.7
FIELD_0002,2668821,"Clime-Sogn complex, 3 to 20 percent slopes",Sogn,25,Somewhat excessively drained,0,13,4,7.5,0.24,35,10,55,1.25,28.1
FIELD_0002,2668821,"Clime-Sogn complex, 3 to 20 percent slopes",Sogn,25,Somewhat excessively drained,13,18,3.5,7.5,0.15,37,9,54,1.31,29.4
FIELD_0002,2668821,"Clime-Sogn complex, 3 to 20 percent slopes",Sogn,25,Somewhat excessively drained,18,200,,,,,,,,
FIELD_0002,2668821,"Clime-Sogn complex, 3 to 20 percent slopes",Labette,5,Well drained,0,18,3,6.1,0.19,35,4,61,1.24,28.7
FIELD_0002,2668821,"Clime-Sogn complex, 3 to 20 percent slopes",Martin,5,Moderately well drained,0,20,3,6.1,0.2,34,5,61,1.36,27.1
FIELD_0002,2668821,"Clime-Sogn complex, 3 to 20 percent slopes",Labette,5,Well drained,18,33,2,6.1,0.19,38,5,57,1.34,30.4
FIELD_0002,2668821,"Clime-Sogn complex, 3 to 20 percent slopes",Martin,5,Moderately well drained,20,36,2,6.1,0.2,34,5,61,1.3,26.8
FIELD_0002,2668821,"Clime-Sogn complex, 3 to 20 percent slopes",Rock outcrop,4,,0,200,,,,,,,,
FIELD_0002,2668821,"Clime-Sogn complex, 3 to 20 percent slopes",Aquolls,1,Poorly drained,0,15,3.5,6.7,0.13,56,1,43,1.23,41.2
FIELD_0002,2668821,"Clime-Sogn complex, 3 to 20 percent slopes",Aquolls,1,Poorly drained,15,43,1.5,6.2,0.13,58,1,41,1.34,38.5
FIELD_0003,1397053,"Muscatine silty clay loam, terrace, 0 to 2 percent slopes",Muscatine,95,Somewhat poorly drained,0,18,5,5.6,0.23,30,3,67,1.32,25.5
FIELD_0003,1397053,"Muscatine silty clay loam, terrace, 0 to 2 percent slopes",Muscatine,95,Somewhat poorly drained,18,41,5,5.6,0.23,30,3,67,1.32,25.5
FIELD_0003,1397053,"Muscatine silty clay loam, terrace, 0 to 2 percent slopes",Garwin,5,Poorly drained,0,20,6.5,6.5,0.22,32,2,66,1.33,27.3
FIELD_0003,1397053,"Muscatine silty clay loam, terrace, 0 to 2 percent slopes",Garwin,5,Poorly drained,20,30,4.5,6.5,0.22,33,2,65,1.33,27.6
FIELD_0003,1397053,"Muscatine silty clay loam, terrace, 0 to 2 percent slopes",Garwin,5,Poorly drained,30,46,3,6.5,0.21,33,2,65,1.33,27.2
FIELD_0003,1397068,"Atterberry silt loam, terrace, 0 to 2 percent slopes",Atterberry,95,Somewhat poorly drained,0,20,3.25,6.4,0.19,24,4,72,1.37,20.5
FIELD_0003,1397068,"Atterberry silt loam, terrace, 0 to 2 percent slopes",Atterberry,95,Somewhat poorly drained,20,35,1.75,5.6,0.2,23,5,72,1.36,19.2
FIELD_0003,1397068,"Atterberry silt loam, terrace, 0 to 2 percent slopes",Walford,5,Poorly drained,0,20,3.5,6.3,0.19,24,4,72,1.38,20.5
FIELD_0003,1397068,"Atterberry silt loam, terrace, 0 to 2 percent slopes",Walford,5,Poorly drained,20,56,1.75,5.9,0.2,23,5,72,1.36,19.2
FIELD_0003,1397069,"Colo silty clay loam, 0 to 2 percent slopes, occasionally flooded",Colo,90,Poorly drained,0,20,5,6.5,0.16,30,6,64,1.29,25.5
FIELD_0003,1397069,"Colo silty clay loam, 0 to 2 percent slopes, occasionally flooded",Colo,90,Poorly drained,20,36,3.5,6.5,0.17,30,6,64,1.31,25.1
FIELD_0003,1397069,"Colo silty clay loam, 0 to 2 percent slopes, occasionally flooded",Zook,5,Poorly drained,0,18,3.9,6.1,0.22,36.3,2.4,61.3,1.43,29.7
FIELD_0003,1397069,"Colo silty clay loam, 0 to 2 percent slopes, occasionally flooded",Ely,5,Somewhat poorly drained,0,20,5.5,6.5,0.22,28.5,7.1,64.4,1.33,33
FIELD_0003,1397069,"Colo silty clay loam, 0 to 2 percent slopes, occasionally flooded",Zook,5,Poorly drained,18,51,2.6,6.1,0.22,36.6,3.5,59.9,1.3,28.5
FIELD_0003,1397069,"Colo silty clay loam, 0 to 2 percent slopes, occasionally flooded",Ely,5,Somewhat poorly drained,20,81,5,6.5,0.22,28.5,7.1,64.4,1.33,33
FIELD_0003,1397119,"Tama silty clay loam, terrace, 2 to 5 percent slopes",Tama,95,Well drained,0,15,3.5,6.5,0.21,27,3,70,1.32,22.8
FIELD_0003,1397119,"Tama silty clay loam, terrace, 2 to 5 percent slopes",Tama,95,Well drained,15,25,3,6,0.21,28,3,69,1.29,23.5
FIELD_0003,1397119,"Tama silty clay loam, terrace, 2 to 5 percent slopes",Tama,95,Well drained,25,36,3,5.9,0.21,28,3,69,1.29,23.5
FIELD_0003,1397119,"Tama silty clay loam, terrace, 2 to 5 percent slopes",Muscatine,5,Somewhat poorly drained,0,20,5,6.2,0.23,29,7,64,1.33,33
FIELD_0003,1397119,"Tama silty clay loam, terrace, 2 to 5 percent slopes",Muscatine,5,Somewhat poorly drained,20,51,5,6.2,0.23,29,7,64,1.33,33
FIELD_0004,182550,"Warsaw loam, 0 to 2 percent slopes",Warsaw,90,Well drained,0,38,4,6.8,0.22,20,36,44,1.38,17.5
FIELD_0004,182550,"Warsaw loam, 0 to 2 percent slopes",Will,5,Poorly drained,0,36,5,6.5,0.18,23.5,32.5,44,1.33,24
FIELD_0004,182615,"Dresden silt loam, 2 to 4 percent slopes",Dresden,90,Well drained,0,18,3,6.4,0.22,22.5,18,59.5,1.36,12.2
FIELD_0004,182615,"Dresden silt loam, 2 to 4 percent slopes",Dresden,90,Well drained,18,48,0.6,6.4,0.18,30,18,52,1.44,15.9
FIELD_0004,182615,"Dresden silt loam, 2 to 4 percent slopes",Will,4,Poorly drained,0,36,5,6.5,0.18,23.5,32.5,44,1.33,24
FIELD_0005,452961,"Ladoga silt loam, 2 to 5 percent slopes",Ladoga,95,Moderately well drained,0,18,3,6.6,0.2,25,2,73,1.33,20.8
FIELD_0005,452961,"Ladoga silt loam, 2 to 5 percent slopes",Ladoga,95,Moderately well drained,18,25,2,6.1,0.19,24,2,74,1.4,19.8
FIELD_0005,452961,"Ladoga silt loam, 2 to 5 percent slopes",Ladoga,95,Moderately well drained,25,36,1,6,0.19,28,2,70,1.36,22.1
FIELD_0005,452961,"Ladoga silt loam, 2 to 5 percent slopes",Givin,5,Somewhat poorly drained,0,20,2.5,6.5,0.23,22,26,52,1.35,22.5
FIELD_0005,452961,"Ladoga silt loam, 2 to 5 percent slopes",Givin,5,Somewhat poorly drained,20,41,0.75,6.5,0.23,22,26,52,1.35,22.5
FIELD_0005,452963,"Ladoga silt loam, 5 to 9 percent slopes, eroded",Ladoga,85,Moderately well drained,0,15,2.5,6.6,0.2,25,2,73,1.33,20.7
FIELD_0005,452963,"Ladoga silt loam, 5 to 9 percent slopes, eroded",Ladoga,85,Moderately well drained,15,25,1,6,0.19,28,2,70,1.36,22.1
FIELD_0005,452963,"Ladoga silt loam, 5 to 9 percent slopes, eroded",Ladoga,85,Moderately well drained,25,48,0.75,5.7,0.18,33,2,65,1.42,25.3
FIELD_0005,452963,"Ladoga silt loam, 5 to 9 percent slopes, eroded",Rinda,5,Poorly drained,0,20,2.5,6.2,0.19,35,5,60,1.48,27.6
FIELD_0005,452963,"Ladoga silt loam, 5 to 9 percent slopes, eroded",Ladoga,5,Moderately well drained,0,10,1.5,6,0.19,30,2,68,1.36,23.8
FIELD_0005,452963,"Ladoga silt loam, 5 to 9 percent slopes, eroded",Hedrick,5,Moderately well drained,0,18,2.5,6.5,0.21,30.5,6.9,62.6,1.33,22.5
FIELD_0005,452963,"Ladoga silt loam, 5 to 9 percent slopes, eroded",Ladoga,5,Moderately well drained,10,25,0.75,5.7,0.18,33,2,65,1.42,25.3
FIELD_0005,452963,"Ladoga silt loam, 5 to 9 percent slopes, eroded",Hedrick,5,Moderately well drained,18,122,0.5,5.8,0.19,32,6.7,61.3,1.38,22.5
FIELD_0005,452963,"Ladoga silt loam, 5 to 9 percent slopes, eroded",Rinda,5,Poorly drained,20,40,0.75,6.2,0.19,35,5,60,1.48,26.6
FIELD_0005,452963,"Ladoga silt loam, 5 to 9 percent slopes, eroded",Ladoga,5,Moderately well drained,25,64,0.75,5.5,0.18,38,2,60,1.42,28.5
FIELD_0005,452965,"Ladoga silt loam, 9 to 14 percent slopes, eroded",Ladoga,90,Moderately well drained,0,15,2.5,6.6,0.2,25,2,73,1.33,20.7
FIELD_0005,452965,"Ladoga silt loam, 9 to 14 percent slopes, eroded",Ladoga,90,Moderately well drained,15,25,1,6,0.19,28,2,70,1.36,22.1
FIELD_0005,452965,"Ladoga silt loam, 9 to 14 percent slopes, eroded",Ladoga,90,Moderately well drained,25,48,0.75,5.7,0.18,33,2,65,1.42,25.3
FIELD_0005,452965,"Ladoga silt loam, 9 to 14 percent slopes, eroded",Gara,5,Well drained,0,15,2.5,6,0.17,22.1,33.3,44.6,1.53,19
FIELD_0005,452965,"Ladoga silt loam, 9 to 14 percent slopes, eroded",Armstrong,5,Somewhat poorly drained,0,15,2.5,6.5,0.18,24,30,46,1.48,24.2
FIELD_0005,452965,"Ladoga silt loam, 9 to 14 percent slopes, eroded",Gara,5,Well drained,15,30,1.5,5.5,0.17,21.6,39.4,39,1.53,18.4
FIELD_0005,452965,"Ladoga silt loam, 9 to 14 percent slopes, eroded",Armstrong,5,Somewhat poorly drained,15,36,0.75,5.5,0.15,30,37.5,32.5,1.6,24.9
FIELD_0005,452965,"Ladoga silt loam, 9 to 14 percent slopes, eroded",Gara,5,Well drained,30,114,0.25,5.5,0.17,29.5,38.2,32.3,1.65,22.3
FIELD_0006,2532691,"Leonard silt loam, 1 to 6 percent slopes, eroded",Leonard,85,Poorly drained,0,20,2.7,6.6,0.21,25,5,70,1.38,20.7
FIELD_0006,2532691,"Leonard silt loam, 1 to 6 percent slopes, eroded",Leonard,85,Poorly drained,20,66,1.5,5.5,0.12,46,3,51,1.36,
FIELD_0006,2532691,"Leonard silt loam, 1 to 6 percent slopes, eroded",Armstrong,7,Somewhat poorly drained,0,15,2.4,7.3,0.21,18,20,62,1.43,15.6
FIELD_0006,2532691,"Leonard silt loam, 1 to 6 percent slopes, eroded",Armstrong,7,Somewhat poorly drained,15,28,1.2,5.7,0.15,37,32,31,1.4,28.3
FIELD_0006,2532691,"Leonard silt loam, 1 to 6 percent slopes, eroded",Armstrong,7,Somewhat poorly drained,28,79,0.51,5.7,0.14,44,17,39,1.46,31.9
FIELD_0006,2532691,"Leonard silt loam, 1 to 6 percent slopes, eroded",Mexico,5,Poorly drained,0,18,1.87,6.5,0.23,18,5,77,1.39,15.2
FIELD_0006,2532691,"Leonard silt loam, 1 to 6 percent slopes, eroded",Mexico,5,Poorly drained,18,38,1.02,5.7,0.2,25,10,65,1.38,20.1
FIELD_0006,2532691,"Leonard silt loam, 1 to 6 percent slopes, eroded",Keswick,3,Moderately well drained,0,18,2.4,5.7,0.21,23,25,52,1.46,19.2
FIELD_0006,2532691,"Leonard silt loam, 1 to 6 percent slopes, eroded",Keswick,3,Moderately well drained,18,51,1,5.5,0.1,44,25,31,1.41,
FIELD_0006,2532749,"Putnam silt loam, 1 to 3 percent slopes",Putnam,85,Poorly drained,0,20,2.04,7.1,0.21,19.4,2.6,78,1.38,16.5
FIELD_0006,2532749,"Putnam silt loam, 1 to 3 percent slopes",Putnam,85,Poorly drained,20,36,1.02,6.7,0.19,20,6,74,1.43,16.6
FIELD_0006,2532749,"Putnam silt loam, 1 to 3 percent slopes",Adco,10,Somewhat poorly drained,0,23,2,5.9,0.22,17.3,2.5,80.2,1.41,15
FIELD_0006,2532749,"Putnam silt loam, 1 to 3 percent slopes",Adco,10,Somewhat poorly drained,23,41,0.6,5.7,0.18,16.2,8.1,75.7,1.47,13.6
FIELD_0006,2532749,"Putnam silt loam, 1 to 3 percent slopes",Mexico,5,Poorly drained,0,23,1.87,6.5,0.23,17.7,4.9,77.4,1.39,15.2
FIELD_0006,2532749,"Putnam silt loam, 1 to 3 percent slopes",Mexico,5,Poorly drained,23,38,1.02,5.7,0.2,25,10.3,64.7,1.38,19.7
FIELD_0006,2532777,"Mexico silt loam, 1 to 4 percent slopes, eroded",Mexico,85,Poorly drained,0,18,1.87,6.5,0.23,17.7,4.9,77.4,1.39,15.2
FIELD_0006,2532777,"Mexico silt loam, 1 to 4 percent slopes, eroded",Mexico,85,Poorly drained,18,38,1.02,5.7,0.2,25,10.3,64.7,1.38,20.1
FIELD_0006,2532777,"Mexico silt loam, 1 to 4 percent slopes, eroded",Armstrong,7,Somewhat poorly drained,0,15,2.4,7.3,0.21,18,20,62,1.43,15.6
FIELD_0006,2532777,"Mexico silt loam, 1 to 4 percent slopes, eroded",Armstrong,7,Somewhat poorly drained,15,28,1.2,5.7,0.15,37,32,31,1.4,28.3
FIELD_0006,2532777,"Mexico silt loam, 1 to 4 percent slopes, eroded",Armstrong,7,Somewhat poorly drained,28,79,0.51,5.7,0.14,44,17,39,1.46,31.9
FIELD_0006,2532777,"Mexico silt loam, 1 to 4 percent slopes, eroded",Putnam,5,Poorly drained,0,20,2.04,7.1,0.21,19.4,2.6,78,1.38,16.5
FIELD_0006,2532777,"Mexico silt loam, 1 to 4 percent slopes, eroded",Putnam,5,Poorly drained,20,36,1.02,6.7,0.19,20,6,74,1.43,16.6
FIELD_0006,2532777,"Mexico silt loam, 1 to 4 percent slopes, eroded",Leonard,3,Poorly drained,0,20,2.7,6.6,0.21,24.7,4.9,70.4,1.38,20.5
FIELD_0006,2532777,"Mexico silt loam, 1 to 4 percent slopes, eroded",Leonard,3,Poorly drained,20,66,1.5,5.7,0.12,46.4,2.9,50.7,1.36,34.7
FIELD_0007,680854,"Atlas silty clay loam, 10 to 18 percent slopes, severely eroded",Atlas,90,Somewhat poorly drained,0,15,2,5.9,0.21,35,18,47,1.42,27.4
FIELD_0007,680854,"Atlas silty clay loam, 10 to 18 percent slopes, severely eroded",Atlas,90,Somewhat poorly drained,15,74,0.5,5.9,0.13,37,18,45,1.5,27.5
FIELD_0007,680854,"Atlas silty clay loam, 10 to 18 percent slopes, severely eroded",Ava,10,Moderately well drained,0,23,1.25,5.9,0.22,18,5,77,1.5,9.7
FIELD_0007,680854,"Atlas silty clay loam, 10 to 18 percent slopes, severely eroded",Ava,10,Moderately well drained,23,71,0.5,5,0.17,31,3,66,1.5,
FIELD_0007,680869,"Radford silt loam, 0 to 2 percent slopes, frequently flooded",Radford,90,Somewhat poorly drained,0,31,3,6.7,0.14,23,8,69,1.4,19.6
FIELD_0007,680869,"Radford silt loam, 0 to 2 percent slopes, frequently flooded",Sawmill,8,Poorly drained,0,20,2.5,6.7,0.18,31,7,62,1.45,25.5
FIELD_0007,680869,"Radford silt loam, 0 to 2 percent slopes, frequently flooded",Sawmill,8,Poorly drained,20,75,2,6.7,0.18,31,10,59,1.36,25.3
FIELD_0007,680869,"Radford silt loam, 0 to 2 percent slopes, frequently flooded",Birds,2,Poorly drained,0,15,2,6.7,0.23,20,10,70,1.4,17
FIELD_0007,680869,"Radford silt loam, 0 to 2 percent slopes, frequently flooded",Birds,2,Poorly drained,15,56,1,6.7,0.23,20,10,70,1.4,16.6
FIELD_0007,680873,"Sawmill silt loam, 0 to 2 percent slopes, frequently flooded, overwash",Sawmill,90,Poorly drained,0,20,2,6.7,0.22,19,10,71,1.42,16.3
FIELD_0007,680873,"Sawmill silt loam, 0 to 2 percent slopes, frequently flooded, overwash",Sawmill,90,Poorly drained,20,38,1,7,0.21,20,11,69,1.34,16.6
FIELD_0007,680934,"Elco silt loam, 10 to 18 percent slopes, eroded",Elco,95,Moderately well drained,0,15,1.5,6.6,0.19,23,4,73,1.42,19.5
FIELD_0007,680934,"Elco silt loam, 10 to 18 percent slopes, eroded",Elco,95,Moderately well drained,15,71,0.25,6.5,0.18,31,4,65,1.44,23.3
FIELD_0007,680934,"Elco silt loam, 10 to 18 percent slopes, eroded",Atlas,3,Somewhat poorly drained,0,18,2,5.9,0.23,22,18,60,1.39,18.4
FIELD_0007,680934,"Elco silt loam, 10 to 18 percent slopes, eroded",Atlas,3,Somewhat poorly drained,18,74,0.5,5.9,0.13,37,18,45,1.5,27.5
FIELD_0007,680935,"Elco silt loam, 18 to 25 percent slopes, eroded",Elco,95,Moderately well drained,0,5,1.5,6.5,0.15,24,4,72,1.28,19.9
FIELD_0007,680935,"Elco silt loam, 18 to 25 percent slopes, eroded",Elco,95,Moderately well drained,5,23,0.25,6.5,0.16,21,4,75,1.28,16.4
FIELD_0007,680935,"Elco silt loam, 18 to 25 percent slopes, eroded",Elco,95,Moderately well drained,23,81,0.25,6.5,0.14,31,4,65,1.35,23.3
FIELD_0007,680935,"Elco silt loam, 18 to 25 percent slopes, eroded",Atlas,3,Somewhat poorly drained,0,18,2,5.9,0.23,22,18,60,1.39,18.4
FIELD_0007,680935,"Elco silt loam, 18 to 25 percent slopes, eroded",Atlas,3,Somewhat poorly drained,18,74,0.5,5.9,0.13,37,18,45,1.5,27.5
FIELD_0007,680936,"Alvin sandy loam, 2 to 5 percent slopes",Alvin,90,Well drained,0,10,0.75,5.9,0.16,13,67,20,1.55,9
FIELD_0007,680936,"Alvin sandy loam, 2 to 5 percent slopes",Alvin,90,Well drained,10,25,0.25,5.9,0.14,10,70,20,1.55,8
FIELD_0007,680936,"Alvin sandy loam, 2 to 5 percent slopes",Alvin,90,Well drained,25,107,0.25,5.9,0.16,15,60,25,1.53,11.5
FIELD_0007,680950,"Dorchester silt loam, 0 to 2 percent slopes, occasionally flooded",Dorchester,95,Well drained,0,15,1.25,7.9,0.21,20,20,60,1.25,16.7
FIELD_0007,680950,"Dorchester silt loam, 0 to 2 percent slopes, occasionally flooded",Dorchester,95,Well drained,15,152,2.5,7.5,0.23,24,25,51,1.33,20.3
FIELD_0007,680950,"Dorchester silt loam, 0 to 2 percent slopes, occasionally flooded",Sawmill,3,Poorly drained,0,66,4.5,7,0.22,31,6.9,62.1,1.3,27.5
FIELD_0007,680955,"Fayette silt loam, glaciated, 2 to 5 percent slopes",Fayette,90,Well drained,0,18,2,6.8,0.21,19,4,77,1.41,16.3
FIELD_0007,680955,"Fayette silt loam, glaciated, 2 to 5 percent slopes",Fayette,90,Well drained,18,28,0.55,6,0.22,19,4,77,1.45,15.5
FIELD_0007,680955,"Fayette silt loam, glaciated, 2 to 5 percent slopes",Fayette,90,Well drained,28,114,0.25,5.5,0.19,31,4,65,1.45,
FIELD_0007,680955,"Fayette silt loam, glaciated, 2 to 5 percent slopes",Keomah,5,Somewhat poorly drained,0,15,2,6.5,0.22,16,4,80,1.44,13.7
FIELD_0007,680955,"Fayette silt loam, glaciated, 2 to 5 percent slopes",Keomah,5,Somewhat poorly drained,15,33,0.65,5.7,0.19,20,4,76,1.45,11.6
FIELD_0007,680963,"Fayette silt loam, glaciated, 5 to 10 percent slopes, eroded",Fayette,95,Well drained,0,8,1.5,6.8,0.22,19,4,77,1.45,16.1
